#curie_map:
#  HP: "http://purl.obolibrary.org/obo/HP_"
#  MP: "http://purl.obolibrary.org/obo/MP_"
#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_provider: "http://purl.obolibrary.org/obo/upheno.owl"
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label
HP:0009124	skos:exactMatch	MP:0000003	semapv:LexicalMatching	Abnormal adipose tissue morphology	abnormal adipose tissue morphology
HP:0008551	skos:exactMatch	MP:0000018	semapv:LexicalMatching	Microtia	small ears
HP:0000411	skos:exactMatch	MP:0000021	semapv:LexicalMatching	Protruding ear	prominent ears
HP:0000375	skos:exactMatch	MP:0000031	semapv:LexicalMatching	Abnormal cochlea morphology	abnormal cochlea morphology
HP:0009910	skos:exactMatch	MP:0000040	semapv:LexicalMatching	Aplasia of the middle ear ossicles	absent middle ear ossicles
HP:0002659	skos:exactMatch	MP:0000061	semapv:LexicalMatching	Increased susceptibility to fractures	fragile skeleton
HP:0004349	skos:exactMatch	MP:0000063	semapv:LexicalMatching	Reduced bone mineral density	decreased bone mineral density
HP:0011002	skos:exactMatch	MP:0000067	semapv:LexicalMatching	Osteopetrosis	osteopetrosis
HP:0001363	skos:exactMatch	MP:0000081	semapv:LexicalMatching	Craniosynostosis	premature cranial suture closure
HP:0000260	skos:exactMatch	MP:0000085	semapv:LexicalMatching	Wide anterior fontanel	large anterior fontanelle
HP:0009939	skos:exactMatch	MP:0000087	semapv:LexicalMatching	Mandibular aplasia	absent mandible
HP:0100629	skos:exactMatch	MP:0000108	semapv:LexicalMatching	Midline facial cleft	midline facial cleft
HP:0000175	skos:exactMatch	MP:0000111	semapv:LexicalMatching	Cleft palate	cleft palate
HP:0400001	skos:exactMatch	MP:0000114	semapv:LexicalMatching	Chin with vertical crease	cleft chin
HP:0006288	skos:exactMatch	MP:0000122	semapv:LexicalMatching	Advanced eruption of teeth	premature tooth eruption
HP:0100671	skos:exactMatch	MP:0000130	semapv:LexicalMatching	Abnormal trabecular bone morphology	abnormal trabecular bone morphology
HP:0003307	skos:exactMatch	MP:0000162	semapv:LexicalMatching	Hyperlordosis	lordosis
HP:0002763	skos:exactMatch	MP:0000163	semapv:LexicalMatching	Abnormal cartilage morphology	abnormal cartilage morphology
HP:0031851	skos:exactMatch	MP:0000208	semapv:LexicalMatching	Reduced hematocrit	decreased hematocrit
HP:0001974	skos:exactMatch	MP:0000218	semapv:LexicalMatching	Leukocytosis	increased leukocyte cell number
HP:0011897	skos:exactMatch	MP:0000219	semapv:LexicalMatching	Neutrophilia	increased neutrophil cell number
HP:0001882	skos:exactMatch	MP:0000221	semapv:LexicalMatching	Leukopenia	decreased leukocyte cell number
HP:0025065	skos:exactMatch	MP:0000226	semapv:LexicalMatching	Abnormal mean corpuscular volume	abnormal mean corpuscular volume
HP:0000822	skos:exactMatch	MP:0000231	semapv:LexicalMatching	Hypertension	hypertension
HP:0001978	skos:exactMatch	MP:0000240	semapv:LexicalMatching	Extramedullary hematopoiesis	extramedullary hematopoiesis
HP:0001336	skos:exactMatch	MP:0000243	semapv:LexicalMatching	Myoclonus	myoclonus
HP:0001627	skos:exactMatch	MP:0000266	semapv:LexicalMatching	Abnormal heart morphology	abnormal heart morphology
HP:0001679	skos:exactMatch	MP:0000272	semapv:LexicalMatching	Abnormal aortic morphology	abnormal aorta morphology
HP:0001667	skos:exactMatch	MP:0000276	semapv:LexicalMatching	Right ventricular hypertrophy	heart right ventricle hypertrophy
HP:0001719	skos:exactMatch	MP:0000284	semapv:LexicalMatching	Double outlet right ventricle	double outlet right ventricle
HP:0001633	skos:exactMatch	MP:0000286	semapv:LexicalMatching	Abnormal mitral valve morphology	abnormal mitral valve morphology
HP:0001981	skos:exactMatch	MP:0000314	semapv:LexicalMatching	Schistocytosis	schistocytosis
HP:0032310	skos:exactMatch	MP:0000322	semapv:LexicalMatching	Granulocytosis	increased granulocyte number
HP:0012543	skos:exactMatch	MP:0000327	semapv:LexicalMatching	Hemosiderinuria	hemosiderinuria
HP:0001913	skos:exactMatch	MP:0000334	semapv:LexicalMatching	Granulocytopenia	decreased granulocyte number
HP:0012234	skos:exactMatch	MP:0000334	semapv:LexicalMatching	Agranulocytosis	decreased granulocyte number
HP:0031377	skos:exactMatch	MP:0000350	semapv:LexicalMatching	Abnormal cell proliferation	abnormal cell proliferation
HP:0025084	skos:exactMatch	MP:0000376	semapv:LexicalMatching	Folliculitis	folliculitis
HP:0002212	skos:exactMatch	MP:0000410	semapv:LexicalMatching	Curly hair	waved hair
HP:0001596	skos:exactMatch	MP:0000414	semapv:LexicalMatching	Alopecia	alopecia
HP:0011457	skos:exactMatch	MP:0000425	semapv:LexicalMatching	Loss of eyelashes	loss of eyelid cilia
HP:0000252	skos:exactMatch	MP:0000433	semapv:LexicalMatching	Microcephaly	microcephaly
