#creator_id: "https://orcid.org/0000-0002-7356-1779"
#curie_map: 
#  HP: "http://purl.obolibrary.org/obo/HP_"
#  MP: "http://purl.obolibrary.org/obo/MP_"
#  skos: "http://www.w3.org/2004/02/skos/core"
#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_provider: "http://purl.obolibrary.org/obo/upheno.owl"
subject_id	predicate_id	object_id	match_type	subject_label	object_label
HP:0009124	skos:exactMatch	MP:0000003	Lexical	Abnormal adipose tissue morphology	abnormal adipose tissue morphology
HP:0008551	skos:exactMatch	MP:0000018	Lexical	Microtia	small ears
HP:0000411	skos:exactMatch	MP:0000021	Lexical	Protruding ear	prominent ears
HP:0000375	skos:exactMatch	MP:0000031	Lexical	Abnormal cochlea morphology	abnormal cochlea morphology
HP:0009910	skos:exactMatch	MP:0000040	Lexical	Aplasia of the middle ear ossicles	absent middle ear ossicles
HP:0002659	skos:exactMatch	MP:0000061	Lexical	Increased susceptibility to fractures	fragile skeleton
HP:0004349	skos:exactMatch	MP:0000063	Lexical	Reduced bone mineral density	decreased bone mineral density
HP:0011002	skos:exactMatch	MP:0000067	Lexical	Osteopetrosis	osteopetrosis
HP:0001363	skos:exactMatch	MP:0000081	Lexical	Craniosynostosis	premature cranial suture closure
HP:0000260	skos:exactMatch	MP:0000085	Lexical	Wide anterior fontanel	large anterior fontanelle
HP:0009939	skos:exactMatch	MP:0000087	Lexical	Mandibular aplasia	absent mandible
HP:0100629	skos:exactMatch	MP:0000108	Lexical	Midline facial cleft	midline facial cleft
HP:0000175	skos:exactMatch	MP:0000111	Lexical	Cleft palate	cleft palate
HP:0400001	skos:exactMatch	MP:0000114	Lexical	Chin with vertical crease	cleft chin
HP:0006288	skos:exactMatch	MP:0000122	Lexical	Advanced eruption of teeth	premature tooth eruption
HP:0100671	skos:exactMatch	MP:0000130	Lexical	Abnormal trabecular bone morphology	abnormal trabecular bone morphology
HP:0000921	skos:exactMatch	MP:0000151	Lexical	Missing ribs	absent ribs
HP:0003307	skos:exactMatch	MP:0000162	Lexical	Hyperlordosis	lordosis
HP:0002763	skos:exactMatch	MP:0000163	Lexical	Abnormal cartilage morphology	abnormal cartilage morphology
HP:0031851	skos:exactMatch	MP:0000208	Lexical	Reduced hematocrit	decreased hematocrit
HP:0001974	skos:exactMatch	MP:0000218	Lexical	Leukocytosis	increased leukocyte cell number
HP:0011897	skos:exactMatch	MP:0000219	Lexical	Neutrophilia	increased neutrophil cell number
HP:0001882	skos:exactMatch	MP:0000221	Lexical	Leukopenia	decreased leukocyte cell number
HP:0025065	skos:exactMatch	MP:0000226	Lexical	Abnormal mean corpuscular volume	abnormal mean corpuscular volume
HP:0000822	skos:exactMatch	MP:0000231	Lexical	Hypertension	hypertension
HP:0001978	skos:exactMatch	MP:0000240	Lexical	Extramedullary hematopoiesis	extramedullary hematopoiesis
HP:0001336	skos:exactMatch	MP:0000243	Lexical	Myoclonus	myoclonus
HP:0001627	skos:exactMatch	MP:0000266	Lexical	Abnormal heart morphology	abnormal heart morphology
HP:0001679	skos:exactMatch	MP:0000272	Lexical	Abnormal aortic morphology	abnormal aorta morphology
HP:0001667	skos:exactMatch	MP:0000276	Lexical	Right ventricular hypertrophy	heart right ventricle hypertrophy
HP:0001719	skos:exactMatch	MP:0000284	Lexical	Double outlet right ventricle	double outlet right ventricle
HP:0001633	skos:exactMatch	MP:0000286	Lexical	Abnormal mitral valve morphology	abnormal mitral valve morphology
HP:0001981	skos:exactMatch	MP:0000314	Lexical	Schistocytosis	schistocytosis
HP:0032310	skos:exactMatch	MP:0000322	Lexical	Granulocytosis	increased granulocyte number
HP:0012543	skos:exactMatch	MP:0000327	Lexical	Hemosiderinuria	hemosiderinuria
HP:0001913	skos:exactMatch	MP:0000334	Lexical	Granulocytopenia	decreased granulocyte number
HP:0012234	skos:exactMatch	MP:0000334	Lexical	Agranulocytosis	decreased granulocyte number
HP:0031377	skos:exactMatch	MP:0000350	Lexical	Abnormal cell proliferation	abnormal cell proliferation
HP:0025084	skos:exactMatch	MP:0000376	Lexical	Folliculitis	folliculitis
HP:0002212	skos:exactMatch	MP:0000410	Lexical	Curly hair	waved hair
HP:0001596	skos:exactMatch	MP:0000414	Lexical	Alopecia	alopecia
HP:0011457	skos:exactMatch	MP:0000425	Lexical	Loss of eyelashes	loss of eyelid cilia
HP:0000252	skos:exactMatch	MP:0000433	Lexical	Microcephaly	microcephaly
HP:0000256	skos:exactMatch	MP:0000434	Lexical	Macrocephaly	megacephaly
HP:0002457	skos:exactMatch	MP:0000436	Lexical	Abnormal head movements	abnormal head movements
HP:0030791	skos:exactMatch	MP:0000454	Lexical	Abnormal jaw morphology	abnormal jaw morphology
HP:0000347	skos:exactMatch	MP:0000460	Lexical	Micrognathia	mandible hypoplasia
HP:0002031	skos:exactMatch	MP:0000467	Lexical	Abnormal esophagus morphology	abnormal esophagus morphology
HP:0002242	skos:exactMatch	MP:0000477	Lexical	Abnormal intestine morphology	abnormal intestine morphology
HP:0031855	skos:exactMatch	MP:0000508	Lexical	Right isomerism	right-sided isomerism
HP:0000126	skos:exactMatch	MP:0000519	Lexical	Hydronephrosis	hydronephrosis
HP:0010958	skos:exactMatch	MP:0000520	Lexical	Bilateral renal agenesis	absent kidney
HP:0000803	skos:exactMatch	MP:0000522	Lexical	Renal cortical cysts	kidney cortex cysts
HP:0001947	skos:exactMatch	MP:0000525	Lexical	Renal tubular acidosis	renal tubular acidosis
HP:0000072	skos:exactMatch	MP:0000536	Lexical	Hydroureter	hydroureter
HP:0000021	skos:exactMatch	MP:0000539	Lexical	Megacystis	distended urinary bladder
HP:0031854	skos:exactMatch	MP:0000542	Lexical	Left Isomerism	left-sided isomerism
