Element ID	Description	TSV Example	RDF example	Scope	Entity Type	Required	Datatype	Equivalent property	Sub Property
ID	A dc:description	A sssom:tsv_example	A sssom:rdf_example	A sssom:scope	TYPE	AT sssom:required^^xsd:boolean	RANGE	AI sssom:equivalent_property	SP %
sssom:subject_id	The ID of the subject of the mapping.	HP:0009894	http://purl.obolibrary.org/obo/HP_0009894	L	owl:AnnotationProperty	1		owl:annotatedSource	sssom:metadata_element
sssom:subject_label	The label of subject of the mapping	Thickened ears	Thickened ears	L	owl:AnnotationProperty	0	xsd:string		sssom:metadata_element
sssom:subject_category	The conceptual category to which the subject belongs to. This can be a string denoting the category or a term from a controlled vocabulary.	COB:0000022	http://purl.obolibrary.org/obo/COB_0000022	L	owl:AnnotationProperty	0	xsd:string		sssom:metadata_element
sssom:predicate_id	The ID of the predicate or relation that relates the subject and object of this match.	owl:equivalentClass	owl:equivalentClass	L	owl:AnnotationProperty	1		owl:annotatedProperty	sssom:metadata_element
sssom:predicate_label	The label of the predicate/relation of the mapping	equivalent to	equivalent to	L	owl:AnnotationProperty	0	xsd:string		sssom:metadata_element
sssom:object_id	The ID of the object of the mapping.	MP:0000019	http://purl.obolibrary.org/obo/MP_0000019	L	owl:AnnotationProperty	1		owl:annotatedTarget	sssom:metadata_element
sssom:object_label	The label of object of the mapping	thick ears	thick ears	L	owl:AnnotationProperty	0	xsd:string		sssom:metadata_element
sssom:object_category	The conceptual category to which the subject belongs to. This can be a string denoting the category or a term from a controlled vocabulary.	COB:0000022	http://purl.obolibrary.org/obo/COB_0000022	L	owl:AnnotationProperty	0	xsd:string		sssom:metadata_element
sssom:match_type	"ID from Match type (SSSOM:MatchType) branch of the SSSSOM Vocabulary. In the case of multiple match types for a single subject, predicate, object triplet, two seperate mappings must be specified."	SSSOM:LexicalEquivalenceMatch	http://purl.org/sssom/type/LexicalEquivalenceMatch	L	owl:AnnotationProperty	1			sssom:metadata_element
sssom:mapping_set_id	"A globally unique identifier for the mapping set (not each individual mapping). Should be IRI, ideally resolvable."	http://purl.obolibrary.org/obo/upheno/mapping/mp-hp	http://purl.obolibrary.org/obo/upheno/mapping/mp-hp	G	owl:AnnotationProperty	0			sssom:metadata_element
sssom:mapping_set_version	A version string for the mapping.	2.3	2.3	G	owl:AnnotationProperty	0	xsd:string	owl:versionInfo	sssom:metadata_element
sssom:creator_id	"Identifies the persons or groups responsible for the creation of the mapping. Recommended to be a (pipe-separated) list of ORCIDs or otherwise identifying URLs, but any identifying string (such as name and affiliation) is permissible."	https://orcid.org/0000-0002-7356-1779|https://orcid.org/0000-0002-7356-XXXX	https://orcid.org/0000-0002-7356-1779	G/L	owl:AnnotationProperty	0		dc:creator	sssom:metadata_element
sssom:creator_label	"A string identifying the creator of this mapping. In the spirit of provenance, consider to use creator_id instead."	"Lebron James, LA Lakers"	"Lebron James, LA Lakers"	G/L	owl:AnnotationProperty	0	xsd:string		sssom:metadata_element
sssom:license	A url to the license of the mapping. In absence of a license we assume no license.	https://creativecommons.org/licenses/by/3.0/	https://creativecommons.org/licenses/by/3.0/	G/L	owl:AnnotationProperty	0		dcterms:license	sssom:metadata_element
sssom:subject_source	IRI of ontology source for the subject. Version IRI preferred.	http://purl.obolibrary.org/obo/hp.owl	http://purl.obolibrary.org/obo/hp.owl	G/L	owl:AnnotationProperty	0			sssom:metadata_element
sssom:subject_source_version	Version IRI of the source of the subject term.	http://purl.obolibrary.org/obo/hp/releases/2020-03-27/hp-base.owl	http://purl.obolibrary.org/obo/hp/releases/2020-03-27/hp-base.owl	G/L	owl:AnnotationProperty	0	xsd:string		sssom:metadata_element
